date,open,high,low,close
2018-01-01,10180.76,10275.28,10144.03,10238.34
2018-01-02,10252.72,10283.09,10095.94,10125.93
2018-01-03,10131.86,10402.7,9944.63,10213.95
2018-01-04,10233.26,10395.69,10162.51,10324.31
2018-01-05,10328.39,10437.87,10001.98,10109.14
2018-01-08,10134.0,10141.06,9962.4,9969.35
2018-01-09,9972.18,10111.91,9847.83,9987.38
2018-01-10,10010.91,10218.45,9750.26,9956.67
2018-01-11,9982.72,9985.26,9956.28,9958.82
2018-01-12,9934.81,9968.41,9836.37,9869.75
2018-01-15,9816.36,10004.73,9781.85,9969.68
2018-01-16,10015.95,10091.9,9983.55,10059.36
2018-01-17,10067.11,10135.18,10002.66,10070.7
2018-01-18,10019.04,10390.88,9831.97,10200.43
2018-01-19,10178.61,10347.68,10088.75,10257.12
2018-01-22,10280.9,10355.27,10091.17,10164.69
2018-01-23,10156.17,10261.87,10104.66,10210.09
2018-01-24,10194.42,10284.43,10017.77,10107.01
2018-01-25,10149.57,10324.0,10035.47,10209.23
2018-01-26,10177.2,10283.44,10101.69,10207.7
2018-01-29,10183.29,10216.45,10157.9,10191.04
2018-01-30,10197.51,10344.62,9973.06,10119.04
2018-01-31,10130.9,10444.41,9948.96,10260.14
2018-02-01,10275.43,10304.21,10218.12,10246.82
2018-02-02,10274.87,10348.02,10130.09,10202.73
2018-02-05,10208.81,10387.51,9989.38,10167.35
2018-02-06,10182.29,10279.83,10133.85,10231.15
2018-02-07,10223.2,10468.2,10032.47,10276.47
2018-02-08,10278.41,10453.65,10152.72,10327.37
2018-02-09,10330.7,10404.08,10307.31,10380.58
2018-02-12,10387.28,10633.11,10386.47,10632.28
2018-02-13,10656.95,10740.2,10506.37,10589.09
2018-02-14,10606.74,10711.48,10429.78,10533.8
2018-02-15,10535.2,10567.05,10412.53,10444.11
2018-02-16,10418.78,10522.48,10415.65,10519.32
2018-02-19,10521.46,10683.22,10493.62,10655.03
2018-02-20,10654.14,10706.07,10594.05,10645.94
2018-02-21,10652.11,10664.59,10539.87,10552.23
2018-02-22,10622.31,10633.54,10450.09,10461.14
2018-02-23,10444.72,10668.48,10317.89,10540.49
2018-02-26,10553.85,10744.43,10441.52,10631.27
2018-02-27,10665.41,10744.21,10620.6,10699.26
2018-02-28,10702.41,10864.32,10464.73,10625.47
2018-03-01,10700.26,10736.65,10620.66,10656.9
2018-03-02,10644.83,10827.32,10492.79,10674.86
2018-03-05,10685.24,10755.96,10634.23,10704.85
2018-03-06,10679.23,11123.52,10371.83,10812.28
2018-03-07,10800.89,10957.03,10687.54,10843.25
2018-03-08,10851.35,10995.19,10785.52,10928.9
2018-03-09,10956.68,10997.06,10901.08,10941.4
2018-03-12,10951.88,11019.03,10913.6,10980.64
2018-03-13,11022.2,11251.42,10833.05,11061.58
2018-03-14,11058.43,11123.48,10826.0,10890.05
2018-03-15,10879.2,10965.84,10769.71,10856.17
2018-03-16,10944.59,11056.55,10693.93,10804.46
2018-03-19,10817.25,10884.32,10666.53,10733.09
2018-03-20,10709.95,10800.52,10614.41,10704.94
2018-03-21,10682.66,11021.65,10550.32,10886.78
2018-03-22,10856.04,10973.48,10671.2,10787.9
2018-03-23,10818.25,10965.33,10761.17,10907.78
2018-03-26,10895.86,10915.45,10692.74,10712.0
2018-03-27,10716.09,10737.42,10655.64,10676.88
2018-03-28,10674.85,10707.71,10667.45,10700.29
2018-03-29,10723.8,10834.58,10663.33,10773.82
2018-03-30,10746.49,10865.76,10743.55,10862.79
2018-04-02,10827.79,11044.24,10746.94,10962.38
2018-04-03,10969.76,11070.99,10823.97,10924.78
2018-04-04,10944.5,11016.93,10801.75,10873.71
2018-04-05,10884.56,11002.68,10863.29,10981.21
2018-04-06,10954.58,10965.11,10951.98,10962.51
2018-04-09,10984.81,11005.63,10793.59,10814.08
2018-04-10,10789.97,10837.53,10637.29,10684.38
2018-04-11,10667.67,10726.56,10522.68,10581.09
2018-04-12,10551.17,10780.65,10415.08,10643.37
2018-04-13,10685.0,10710.17,10639.2,10664.33
2018-04-16,10684.61,10790.93,10643.86,10749.93
2018-04-17,10769.46,10815.18,10658.37,10703.81
2018-04-18,10743.93,10917.57,10553.42,10726.78
2018-04-19,10817.68,10892.93,10730.01,10805.17
2018-04-20,10749.91,10865.78,10657.1,10772.78
2018-04-23,10748.94,10996.98,10584.6,10831.37
2018-04-24,10811.37,10917.7,10651.3,10757.1
2018-04-25,10729.67,10872.36,10575.97,10718.51
2018-04-26,10683.92,10718.65,10643.15,10677.87
2018-04-27,10668.27,10695.67,10515.47,10542.54
2018-04-30,10504.13,10707.83,10400.69,10603.41
2018-05-01,10614.07,10657.67,10509.67,10553.02
2018-05-02,10554.66,10639.32,10474.06,10558.69
2018-05-03,10573.94,10681.64,10511.49,10618.92
2018-05-04,10635.11,10720.35,10590.41,10675.48
2018-05-07,10694.81,10833.88,10619.58,10758.21
2018-05-08,10746.16,10783.27,10713.76,10750.86
2018-05-09,10819.49,10929.74,10596.11,10705.19
2018-05-10,10712.73,10730.08,10682.75,10700.09
2018-05-11,10640.47,10759.51,10389.98,10507.52
2018-05-14,10475.97,10575.79,10247.15,10345.72
2018-05-15,10291.84,10327.58,10164.95,10200.37
